"Leverandørnavn","Kategori","Produkttyper/områder","Rabattstruktur","Betalingsfrist","Kontaktperson (leverandør)"
"Ahlsell","Grossist vvs, elektro, verktøy.","Grossist vvs, elektro, verktøy","mouver priser ligger inne i kundeportalen","45 dager","rune.jakobsen2@ahlsell.no, tlf: 90951519"
"Beslagexperten","Beslag","Glassrekkverk","20% på de fleste produkter unntatt Rør og håndløpere, glass på bestilling og lagerførte glass","30","Daglig leder -Simen Mastereid - simen@beslagexperten.no - 40407950"
"Bosvik Bygginnredning","Skreddersydde interiørløsninger","Glassvegger, spilevegger, himlinger spesialtilpasset interiør","Se egen prisliste inne på teams: https://mouverno.sharepoint.com/:b:/s/Mouver-Prosjektlederne/EepBMB5xjMxIpCdFJlJCUCYBeRovBxu36aZGmmemdD9YOw?e=S4V7nN","30","Navn: Christian Axelsen christian@bosvikbi.no
Telefonnummer: 40 41 38 47
E-postadresse: christian@bosvikbi.no
Navn: Halvard Skaaland
Telefonnummer: 40 41 38 58
E-postadresse: halvard@bosvikbi.no
Prosjektering:

Navn: Jan Terje Rønningbakken
Telefonnummer: 40 20 12 12
E-postadresse: jan.terje@bosvikbi.no
Navn John S Hasåsmyr
Telefonnummer: 40 41 38 54
E-postadresse: john.sigvart@bosvikbi.no
Frakt:

Navn: Christoffer Hansson Larsen
Telefonnummer: 991 65 846
E-postadresse: christoffer@bosvikbi.no"
"Cramo","Lift, brakker, byggmaskiner, heis, teleskoptruck, anleggmaskiner, Containere, letthus, toalett","Lift, brakker, byggmaskiner, heis, teleskoptruck, anleggmaskiner, Containere, letthus, toalett","Opp til 90% rabatt, se priseliste her: https://mouverno.sharepoint.com/:b:/s/Mouver-Prosjektlederne/ERC0L40WPjxHmd4dg5e4BFMBZCGgJQ4fz_EOJXzCdyVKpA?e=OOcAbZ","30","Selger Rogaland Holtet Kenth <kenth.holtet@cramo.com> 941 12 270"
"Gilje","vinduer og dører","Vindu, balkong og skyvedører, ytterdører","-57% på vindu, balkong og skyvedører, -42% på ytterdører","30","Rogaland: Kjeld Madsen, kjeldm@gilje.no, tlf: 57611400
Agder: Guttorm Gulowsen Tlf: 95992525 Mail: Guttorm@gilje.no
Vesltandet : Anne Marie Hjorth, M: 915 10 125, annemarie@gilje.no"
"Hagen AS","Trapp","Stryntrapp, Escalia","Stryntrappa: 35% fakturarabatt, plass til mer: 14% fakturarabatt, Escalia: PPF, Utetrapper: PPF","30","Rogaland:Johannes Velde- Mobil 48134517 mail: johannes.velde@hagen.eu
Agder: Eirik Follerås mobil 90982639 mail: eirik.folleraas@hagen.eu
Bergen: Randi Jordan, mobil: 480 78 003 mail: randi.jordan@hagen.eu"
"Ing Pro","Teknisk rådgivning","prefabrikkerte konstruksjoner","Se egen prisliste https://mouverno.sharepoint.com/:b:/s/MouverGruppen2/EXbk0VDXV_hKoDhn0HEiARwBIJQMJskw4yVW2egJvXwfxA?e=XYtbOp","14","Daglig Leder - Svein Myklebust <svein@tretec.no> - 97044095"
"JKE Design","Kjøkken","Kjøkken","https://mouverno.sharepoint.com/:b:/r/sites/MouverGruppen2/Shared%20Documents/General/Avtaler%20fra%20Leverand%C3%B8rer/JKE%20Design/JKE%20Design%2030.04.24.pdf?csf=1&web=1&e=otTCGf","30","Mogens Bech <mb@jke-forus.no> 98242428"
"Magnor vindu","Vindu, balkong og skyvedører,","Vindu, balkong og skyvedører,","Pris på forespørsel ","30 dager"," ROGALAND
Sveinung Gilje
45 27 98 40
osg@hvm.no

AGDER
Sveinung Gilje
45 27 98 40
osg@hvm.no

HORDALAND
Erling Kjerrgård
907 23 203
ek@hvm.no

SOGN & FJORDANE
Vidar Hjelle
901 85 966
vh@hvm.no"
"Maxbo","Grossist","Dører, vindu, verktøy, arbeidstøy, festemilder","Pris på forespørsel","45","Vågane, Nikolai <Nikolai.Vagane@lovenskiold.no>"
